move_sequence,col0,col1,col2,col3,col4,col5,col6,best_col
004550002423361034253254422,-1.000,-0.941,-1.000,-0.941,-0.941,-0.941,-0.941,1
005021132462652200501624631,-1.000,-0.245,-1.000,-0.941,-0.941,-0.941,-0.941,1
00625425500026153355306626,-1.000,-0.964,0.964,-0.964,0.964,-1.000,-0.964,2
00240055065636414133242233,-0.964,-0.964,-0.964,-0.964,-0.964,0.964,0.964,5
00254344556612322105362305,-0.964,-0.964,-0.964,-0.964,-0.964,-0.941,-0.964,5
00565006511160422312602345,-1.000,-0.964,-0.964,0.964,-0.964,-0.964,-0.964,3
00020541142105663250126215,-1.000,-0.964,-0.964,-0.964,-0.964,-0.964,-0.964,1
00161225040433250460315261,-1.000,-0.964,-0.964,0.964,0.964,-0.964,-0.964,3
00515350263501202223035652,-1.000,-0.462,-1.000,-0.462,-0.462,-1.000,-0.941,1
00213610346100466144445333,-0.964,-0.964,0.964,-0.964,-1.000,0.964,-0.964,2
00635166551660650002553332,-1.000,-0.964,0.964,-0.964,-0.964,-1.000,-1.000,2
00226503425051450640522452,-1.000,-0.964,-1.000,-0.964,-0.941,-1.000,-0.941,4
00061160636404260413513641,-1.000,-0.964,0.964,-0.964,-0.964,-0.964,-1.000,2
00041051154560022221126165,-1.000,-1.000,-0.964,-0.964,-0.964,-0.635,0.964,6
00541035060105622165414355,-1.000,-0.964,-0.964,-0.964,-0.964,-1.000,-0.964,1
00406663402164220522205414,-1.000,-0.964,-1.000,0.964,0.000,-0.964,-0.964,3
00552253142536500263511410,-0.964,0.245,-0.964,-0.964,-0.964,-1.000,-0.964,1
00524264401354620656254541,-0.964,-0.964,-0.964,-0.964,-1.000,-0.964,-0.964,0
00525663416624234650234214,-0.964,-0.964,-0.964,0.964,-0.964,0.964,-0.964,3
00542251321244451106115646,-0.964,-1.000,-0.964,-0.964,-0.964,-0.964,-0.964,0
00330644066526222151243356,-0.964,0.964,-0.964,-0.964,-0.964,0.905,-0.964,1
00066100462644151535326451,-0.964,-0.964,-0.964,-0.964,-0.964,-0.964,-0.964,0
00435052502566111411413553,0.905,-1.000,0.964,0.964,-0.964,-1.000,-0.964,2
00436254203026523345531361,-0.964,0.964,-0.964,-1.000,0.964,-0.964,-0.964,1
00511154606505250056626421,-1.000,-0.462,-0.462,-0.635,-0.462,-1.000,-0.462,1
00261500542442612011401415,-1.000,-1.000,-0.964,0.964,-0.964,-0.964,-0.964,3
00550321555300101256134633,-1.000,0.964,0.964,-0.964,0.905,-1.000,-0.964,1
00216454631331433604516645,-0.941,-0.941,-0.964,-0.941,-0.941,-0.941,-0.941,0
00662401401406546512112541,-0.635,-1.000,-0.635,0.905,-0.635,0.905,0.848,3
00501466116110041664364432,-0.462,-1.000,0.000,0.905,-0.462,-0.462,-1.000,3
00613536441220006034216423,-1.000,0.964,0.964,-0.964,0.905,-0.964,-0.964,1
00055554462102222141054210,-1.000,-0.964,-1.000,-0.964,0.964,-0.964,-0.964,4
00510105301202114531423333,-1.000,-1.000,0.964,-1.000,-0.964,-0.964,0.964,2
00130035103661354346340641,-1.000,-0.635,-0.964,-1.000,-0.635,-0.635,-0.635,1
00105226052342216051664624,-0.905,-0.905,-1.000,-0.905,-0.848,-0.848,-0.905,4
00402125145255326552204341,-0.964,-0.964,-1.000,-0.964,-0.964,-1.000,-0.964,0
00306154155015433142654604,0.462,0.462,-0.964,0.905,0.462,0.462,0.964,6
00640660045443340526426116,-1.000,-0.964,-0.964,-0.964,-1.000,-0.964,-1.000,1
00260664621455533544505443,-0.905,-0.964,0.000,0.000,-1.000,-1.000,0.000,2
00524422050336653642656612,-0.964,-0.964,-0.964,-0.964,0.964,-0.964,-1.000,4
00660045635340661621552043,-1.000,-0.964,-0.964,0.964,0.964,-0.964,-1.000,3
00645140444216325410553152,-0.964,-0.964,-0.964,-0.964,-1.000,-0.964,-0.964,0
00110015356451023550421156,-1.000,-1.000,0.635,0.905,0.000,-1.000,0.905,3
00155532423104100644341226,-0.964,-0.964,-0.964,0.964,-0.964,-0.964,-0.964,3
00266120006310524523153615,-1.000,0.964,-0.964,0.964,0.964,-0.964,-0.964,1
00125611136201352415544442,-0.964,-1.000,-0.964,-0.964,-0.964,-0.964,-0.964,0
00433055566643532222162102,-0.964,-0.964,-1.000,-0.964,0.964,-0.964,-0.964,4
00002366446606441443161501,-1.000,-0.964,-0.964,-0.964,-1.000,-0.964,-1.000,1
00125202561504464520155231,-0.964,-0.964,-0.964,0.245,-0.964,-1.000,-0.964,3
00454261041053066622024363,-1.000,-0.964,-0.964,-0.964,-0.964,-0.964,-0.964,1
00615363326640663424223325,-0.964,0.964,-0.964,-1.000,-0.964,-0.964,-1.000,1
00365166201463100665045543,-1.000,-0.964,-0.462,-0.964,-0.964,-0.964,-1.000,2
00120402653236414135231034,-0.964,0.964,-0.964,-0.964,0.905,-0.964,-0.964,1
00642266115422425334012314,-0.964,-0.964,-1.000,0.964,-0.964,-0.964,-0.964,3
00452103205244144025452521,-0.964,-0.964,-1.000,0.964,-1.000,-0.941,-0.964,3
00224102212301160430661133,-1.000,-1.000,0.905,0.964,0.905,0.905,0.905,3
00152343044064223320311263,-0.964,-0.964,-0.964,-1.000,-0.964,-0.964,-0.964,0
00056612236221615561055543,-0.964,-0.964,-0.964,-0.964,-0.964,-1.000,0.964,6
00126560553630626146142102,-0.964,-0.964,-0.964,-0.964,-0.964,-0.964,-1.000,0
00063660226521542035624645,0.000,0.462,0.245,0.462,0.462,0.245,-1.000,1
00354601240034532666112661,-0.964,-0.964,0.964,0.964,-0.964,-0.964,-1.000,2
00536434563034162152220065,-0.964,-0.964,-0.964,0.964,-0.848,-0.964,-0.964,3
0042451334063142266265624,-0.964,-0.964,-0.964,0.978,-0.964,-0.964,-0.964,3
0015344354160665603550643,-0.964,-0.964,0.978,0.978,-0.964,-0.964,-0.964,2
0013025462326325532526636,0.848,0.848,-1.000,0.978,0.905,0.848,0.848,3
0035546305341116004465641,-0.964,-0.964,-0.964,-0.964,-0.964,-0.964,-0.964,0
0014643002041541263054632,-1.000,-0.964,0.978,-0.964,-0.964,-0.964,-0.964,2
0002311611564132400103244,-1.000,-1.000,-0.964,0.941,-0.964,-0.964,-0.964,3
0046640130520530225346226,-1.000,-0.905,-0.905,0.000,0.000,-0.462,-0.462,3
0045562635613345023100125,0.941,0.941,0.941,0.941,0.978,0.941,0.941,4
0051003246624005311512266,-1.000,-0.964,-0.964,0.941,-0.964,-0.964,-0.964,3
0041005600225324144466634,-1.000,0.978,-0.941,-0.964,-1.000,0.941,-0.941,1
0012420524266350305103225,-1.000,0.978,-1.000,-0.964,-0.964,-0.905,-0.964,1
